order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
ORD_0000001,CUST_006571,delivered,2023-06-15T14:30:00.000Z,2023-06-16T12:30:00.000Z,2023-06-17T12:30:00.000Z,2023-06-19T14:30:00.000Z,2023-06-29T14:30:00.000Z
ORD_0000002,CUST_006956,cancelled,2021-06-12T11:02:00.000Z,2021-06-12T23:02:00.000Z,2021-06-13T23:02:00.000Z,null,2021-06-21T11:02:00.000Z
ORD_0000003,CUST_008373,delivered,2022-03-31T19:38:00.000Z,2022-04-01T04:38:00.000Z,2022-04-04T04:38:00.000Z,2022-04-14T19:38:00.000Z,2022-04-17T19:38:00.000Z
ORD_0000004,CUST_007986,delivered,2021-09-09T22:29:00.000Z,2021-09-10T11:29:00.000Z,2021-09-13T11:29:00.000Z,2021-09-23T22:29:00.000Z,2021-09-27T22:29:00.000Z
ORD_0000005,CUST_002810,shipped,2022-08-27T07:46:00.000Z,2022-08-28T03:46:00.000Z,2022-08-29T03:46:00.000Z,null,2022-09-15T07:46:00.000Z
ORD_0000006,CUST_007867,invoiced,2023-05-26T16:27:00.000Z,2023-05-26T22:27:00.000Z,2023-05-29T22:27:00.000Z,null,2023-06-09T16:27:00.000Z
ORD_0000007,CUST_004827,processing,2021-09-21T15:50:00.000Z,2021-09-22T11:50:00.000Z,2021-09-23T11:50:00.000Z,null,2021-09-28T15:50:00.000Z
ORD_0000008,CUST_005137,delivered,2021-01-19T14:24:00.000Z,2021-01-20T10:24:00.000Z,2021-01-22T10:24:00.000Z,2021-01-28T14:24:00.000Z,2021-02-08T14:24:00.000Z
ORD_0000009,CUST_008418,delivered,2021-07-07T23:18:00.000Z,2021-07-08T23:18:00.000Z,2021-07-10T23:18:00.000Z,2021-07-20T23:18:00.000Z,2021-07-21T23:18:00.000Z
ORD_0000010,CUST_011541,shipped,2021-02-21T04:01:00.000Z,2021-02-21T05:01:00.000Z,2021-02-23T05:01:00.000Z,null,2021-03-01T04:01:00.000Z
ORD_0000011,CUST_004086,delivered,2021-01-09T14:51:00.000Z,2021-01-10T09:51:00.000Z,2021-01-11T09:51:00.000Z,2021-01-16T14:51:00.000Z,2021-01-18T14:51:00.000Z
ORD_0000012,CUST_005971,invoiced,2023-03-17T22:15:00.000Z,2023-03-18T00:15:00.000Z,2023-03-19T00:15:00.000Z,null,2023-03-30T22:15:00.000Z
ORD_0000013,CUST_005208,delivered,2022-03-25T16:59:00.000Z,2022-03-26T02:59:00.000Z,2022-03-29T02:59:00.000Z,2022-04-02T16:59:00.000Z,2022-04-07T16:59:00.000Z
ORD_0000014,CUST_014455,delivered,2021-01-31T02:37:00.000Z,2021-01-31T14:37:00.000Z,2021-02-01T14:37:00.000Z,2021-02-03T02:37:00.000Z,2021-02-08T02:37:00.000Z
ORD_0000015,CUST_013818,shipped,2021-04-27T23:20:00.000Z,2021-04-28T11:20:00.000Z,2021-04-30T11:20:00.000Z,null,2021-05-11T23:20:00.000Z
ORD_0000016,CUST_011729,delivered,2021-08-19T02:52:00.000Z,2021-08-19T18:52:00.000Z,2021-08-20T18:52:00.000Z,2021-09-02T02:52:00.000Z,2021-09-06T02:52:00.000Z
ORD_0000017,CUST_001512,invoiced,2021-03-09T21:44:00.000Z,2021-03-10T06:44:00.000Z,2021-03-13T06:44:00.000Z,null,2021-03-19T21:44:00.000Z
ORD_0000018,CUST_011562,delivered,2022-04-07T11:26:00.000Z,2022-04-08T03:26:00.000Z,2022-04-09T03:26:00.000Z,2022-04-11T11:26:00.000Z,2022-04-14T11:26:00.000Z
ORD_0000019,CUST_009758,invoiced,2022-12-19T14:13:00.000Z,2022-12-19T21:13:00.000Z,2022-12-20T21:13:00.000Z,null,2023-01-08T14:13:00.000Z
ORD_0000020,CUST_009269,delivered,2022-05-08T20:42:00.000Z,2022-05-08T23:42:00.000Z,2022-05-09T23:42:00.000Z,2022-05-15T20:42:00.000Z,2022-05-16T20:42:00.000Z
ORD_0000021,CUST_011895,delivered,2021-06-25T13:10:00.000Z,2021-06-26T07:10:00.000Z,2021-06-29T07:10:00.000Z,2021-06-30T13:10:00.000Z,2021-07-15T13:10:00.000Z
ORD_0000022,CUST_004423,delivered,2022-11-25T08:00:00.000Z,2022-11-25T22:00:00.000Z,2022-11-26T22:00:00.000Z,2022-12-03T08:00:00.000Z,2022-12-05T08:00:00.000Z
ORD_0000023,CUST_010655,processing,2023-05-17T22:37:00.000Z,2023-05-18T11:37:00.000Z,2023-05-19T11:37:00.000Z,null,2023-05-26T22:37:00.000Z
ORD_0000024,CUST_013577,delivered,2021-11-17T02:17:00.000Z,2021-11-17T13:17:00.000Z,2021-11-20T13:17:00.000Z,2021-11-24T02:17:00.000Z,2021-12-05T02:17:00.000Z
ORD_0000025,CUST_012229,delivered,2022-04-28T02:04:00.000Z,2022-04-28T04:04:00.000Z,2022-04-30T04:04:00.000Z,2022-05-06T02:04:00.000Z,2022-05-10T02:04:00.000Z
ORD_0000026,CUST_000953,delivered,2021-09-06T02:45:00.000Z,2021-09-06T21:45:00.000Z,2021-09-08T21:45:00.000Z,2021-09-29T02:45:00.000Z,2021-09-22T02:45:00.000Z
ORD_0000027,CUST_014561,processing,2023-05-01T04:30:00.000Z,2023-05-02T00:30:00.000Z,2023-05-03T00:30:00.000Z,null,2023-05-20T04:30:00.000Z
ORD_0000028,CUST_006835,invoiced,2022-12-21T08:50:00.000Z,2022-12-22T00:50:00.000Z,2022-12-25T00:50:00.000Z,null,2023-01-03T08:50:00.000Z
ORD_0000029,CUST_007737,cancelled,2021-02-20T10:16:00.000Z,2021-02-20T23:16:00.000Z,2021-02-21T23:16:00.000Z,null,2021-03-04T10:16:00.000Z
ORD_0000030,CUST_006566,shipped,2021-12-25T00:53:00.000Z,2021-12-25T06:53:00.000Z,2021-12-26T06:53:00.000Z,null,2022-01-05T00:53:00.000Z
ORD_0000031,CUST_008196,delivered,2023-06-05T08:48:00.000Z,2023-06-05T21:48:00.000Z,2023-06-08T21:48:00.000Z,2023-06-19T08:48:00.000Z,2023-06-16T08:48:00.000Z
ORD_0000032,CUST_012104,invoiced,2022-03-01T03:49:00.000Z,2022-03-01T14:49:00.000Z,2022-03-03T14:49:00.000Z,null,2022-03-09T03:49:00.000Z
ORD_0000033,CUST_009204,invoiced,2022-06-15T05:31:00.000Z,2022-06-15T09:31:00.000Z,2022-06-16T09:31:00.000Z,null,2022-06-26T05:31:00.000Z
ORD_0000034,CUST_008180,delivered,2022-07-26T03:24:00.000Z,2022-07-26T15:24:00.000Z,2022-07-29T15:24:00.000Z,2022-08-12T03:24:00.000Z,2022-08-02T03:24:00.000Z
ORD_0000035,CUST_006579,invoiced,2022-11-19T10:22:00.000Z,2022-11-19T12:22:00.000Z,2022-11-22T12:22:00.000Z,null,2022-11-28T10:22:00.000Z
ORD_0000036,CUST_004438,processing,2022-05-19T23:35:00.000Z,2022-05-20T10:35:00.000Z,2022-05-21T10:35:00.000Z,null,2022-05-30T23:35:00.000Z
ORD_0000037,CUST_010226,shipped,2023-01-22T09:05:00.000Z,2023-01-22T18:05:00.000Z,2023-01-25T18:05:00.000Z,null,2023-01-31T09:05:00.000Z
ORD_0000038,CUST_008685,processing,2021-09-24T04:47:00.000Z,2021-09-24T20:47:00.000Z,2021-09-27T20:47:00.000Z,null,2021-10-01T04:47:00.000Z
