order_id,payment_sequential,payment_type,payment_installments,payment_value
ORD_0000001,1,voucher,12,2775.42
ORD_0000001,2,credit_card,1,32.43
ORD_0000002,1,voucher,1,805.73
ORD_0000003,1,credit_card,6,508.88
ORD_0000004,1,boleto,2,1589.64
ORD_0000004,2,boleto,3,35.07
ORD_0000005,1,credit_card,3,1592.91
ORD_0000006,1,credit_card,1,495.97
ORD_0000007,1,credit_card,2,1738.92
ORD_0000008,1,voucher,1,1107.69
ORD_0000009,1,boleto,1,1057.9
ORD_0000010,1,credit_card,1,84.11
ORD_0000011,1,debit_card,12,1109.46
ORD_0000012,1,debit_card,12,1359.54
ORD_0000012,2,credit_card,3,59.36
ORD_0000013,1,credit_card,3,870.18
ORD_0000014,1,debit_card,1,1325.83
ORD_0000015,1,credit_card,3,1156.8
ORD_0000016,1,credit_card,1,1974.35
ORD_0000017,1,voucher,1,1907.5
ORD_0000018,1,debit_card,3,1593.86
ORD_0000019,1,credit_card,3,2701.3
ORD_0000020,1,debit_card,3,2943.51
ORD_0000021,1,credit_card,1,1027.03
ORD_0000022,1,debit_card,12,753.39
ORD_0000023,1,credit_card,6,2215.62
ORD_0000023,2,voucher,2,90.34
ORD_0000024,1,voucher,3,1135.89
ORD_0000025,1,voucher,12,2094.33
ORD_0000025,2,credit_card,1,44.1
ORD_0000026,1,credit_card,12,2485.42
ORD_0000027,1,boleto,1,1462.06
ORD_0000028,1,debit_card,12,2013.86
ORD_0000029,1,credit_card,12,2564.11
ORD_0000030,1,voucher,1,2403.94
ORD_0000031,1,voucher,1,2599.16
ORD_0000032,1,credit_card,1,1204.42
ORD_0000033,1,credit_card,3,600.86
ORD_0000034,1,voucher,1,1951.78
ORD_0000035,1,voucher,12,2702.78
ORD_0000036,1,credit_card,3,662.52
ORD_0000037,1,credit_card,1,2699.69
ORD_0000038,1,credit_card,1,2075.97
ORD_0000038,2,voucher,1,52.74
ORD_0000039,1,credit_card,6,398.45
ORD_0000040,1,boleto,2,1750.42
