order_id,product_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,purchase_date,purchase_year,purchase_month,purchase_month_name,purchase_day,purchase_day_name,purchase_week,purchase_quarter,purchase_hour,approval_time_hours,carrier_time_hours,delivery_time_days,estimated_delivery_days,delivery_delay_days,delivery_status,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,customer_region,order_item_id,seller_id,shipping_limit_date,price,freight_value,gross_sales,shipping_cost,total_amount,shipping_percentage,shipping_category,price_category,product_category_name,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_volume_cm3,size_category,weight_category,shipping_type,payment_sequential,payment_type,payment_installments,payment_value,is_installment,payment_value_category,installment_category,net_sales,shipping_amount,total_sales,profit,order_value_segment,delivery_performance
ORD_0000031,PROD_000312,CUST_008196,Delivered,2023-06-05T08:48:00.000Z,2023-06-05T21:48:00.000Z,2023-06-08T21:48:00.000Z,2023-06-19T08:48:00.000Z,2023-06-16T08:48:00.000Z,2023-06-05,2023,6,June,5,Monday,23,2,8,13,72,14,11,3,Delayed,UNIQ_008196,13124,Campo Grande,MS,Central-West,2,SELL_0070,2023-06-07T08:48:00.000Z,539.6,67.73,539.6,67.73,607.33,12.55,High,Premium,Furniture,24,536,4,11505,34,48,31,50592,Large,Heavy,Special Handling,1,Voucher,1,2599.16,No,Premium Value,Single Payment,539.6,67.73,607.33,107.92,High,Delayed
ORD_0000033,PROD_001751,CUST_009204,Invoiced,2022-06-15T05:31:00.000Z,2022-06-15T09:31:00.000Z,2022-06-16T09:31:00.000Z,null,2022-06-26T05:31:00.000Z,2022-06-15,2022,6,June,15,Wednesday,24,2,5,4,24,null,11,null,Pending,UNIQ_009204,75095,Rio De Janeiro,RJ,Southeast,1,SELL_0307,2022-06-17T05:31:00.000Z,465.56,43.17,465.56,43.17,508.73,9.27,Medium,Standard,Sports,32,824,1,24430,51,44,18,40392,Large,Heavy,Special Handling,1,Credit_card,3,600.86,Yes,High Value,Short Term EMI,465.56,43.17,508.73,93.11,High,Delayed
ORD_0000082,PROD_001645,CUST_000221,Delivered,2021-09-16T14:05:00.000Z,2021-09-17T05:05:00.000Z,2021-09-20T05:05:00.000Z,2021-09-24T14:05:00.000Z,2021-10-01T14:05:00.000Z,2021-09-16,2021,9,September,16,Thursday,37,3,14,15,72,8,15,-7,On Time,UNIQ_000221,39219,Recife,PE,Northeast,1,SELL_0485,2021-09-19T14:05:00.000Z,1817.3,56.43,1817.3,56.43,1873.73,3.11,High,Premium,Home_appliances,51,806,4,21948,31,38,13,15314,Large,Heavy,Special Handling,1,Credit_card,1,1440.58,No,Premium Value,Single Payment,1817.3,56.43,1873.73,363.46,Premium,On Time
ORD_0000091,PROD_000138,CUST_013850,Delivered,2021-02-16T14:05:00.000Z,2021-02-17T00:05:00.000Z,2021-02-18T00:05:00.000Z,2021-02-28T14:05:00.000Z,2021-02-26T14:05:00.000Z,2021-02-16,2021,2,February,16,Tuesday,7,1,14,10,24,12,10,2,Delayed,UNIQ_013850,32044,Porto Velho,RO,North,1,SELL_0417,2021-02-17T14:05:00.000Z,509.12,36.19,509.12,36.19,545.31,7.11,Medium,Premium,Music,55,974,2,7330,50,23,74,85100,Large,Heavy,Special Handling,1,Credit_card,1,1503.63,No,Premium Value,Single Payment,509.12,36.19,545.31,101.82,High,Delayed
ORD_0000097,PROD_002580,CUST_014376,Delivered,2021-08-27T20:59:00.000Z,2021-08-28T14:59:00.000Z,2021-08-30T14:59:00.000Z,2021-09-06T20:59:00.000Z,2021-09-12T20:59:00.000Z,2021-08-27,2021,8,August,27,Friday,34,3,20,18,48,10,16,-6,On Time,UNIQ_014376,13480,Fortaleza,CE,Northeast,1,SELL_0382,2021-08-29T20:59:00.000Z,908.4,61.58,908.4,61.58,969.98,6.78,High,Premium,Beauty,57,885,1,18615,99,30,66,196020,Large,Heavy,Special Handling,1,Credit_card,3,2375.09,Yes,Premium Value,Short Term EMI,908.4,61.58,969.98,181.68,High,On Time
ORD_0000104,PROD_001701,CUST_003362,Processing,2022-03-05T13:12:00.000Z,2022-03-06T06:12:00.000Z,2022-03-07T06:12:00.000Z,null,2022-03-17T13:12:00.000Z,2022-03-05,2022,3,March,5,Saturday,9,1,13,17,24,null,12,null,Pending,UNIQ_003362,54399,Porto Velho,RO,North,1,SELL_0461,2022-03-08T13:12:00.000Z,1928.56,57.25,1928.56,57.25,1985.81,2.97,High,Premium,Electronics,30,269,3,20845,23,36,53,43884,Large,Heavy,Special Handling,1,Credit_card,2,607.06,Yes,High Value,Short Term EMI,1928.56,57.25,1985.81,385.71,Premium,Delayed
ORD_0000119,PROD_001006,CUST_004877,Processing,2021-01-31T13:45:00.000Z,2021-02-01T13:45:00.000Z,2021-02-04T13:45:00.000Z,null,2021-02-13T13:45:00.000Z,2021-01-31,2021,1,January,31,Sunday,4,1,13,24,72,null,13,null,Pending,UNIQ_004877,33078,Sao Paulo,SP,Southeast,1,SELL_0390,2021-02-01T13:45:00.000Z,1849.87,23.02,1849.87,23.02,1872.89,1.24,Medium,Premium,Books,22,442,4,23975,60,39,75,175500,Large,Heavy,Special Handling,1,Voucher,1,535.68,No,High Value,Single Payment,1849.87,23.02,1872.89,369.97,Premium,Delayed
ORD_0000121,PROD_001049,CUST_013794,Invoiced,2022-10-18T00:33:00.000Z,2022-10-19T00:33:00.000Z,2022-10-22T00:33:00.000Z,null,2022-10-25T00:33:00.000Z,2022-10-18,2022,10,October,18,Tuesday,42,4,0,24,72,null,7,null,Pending,UNIQ_013794,45125,Belo Horizonte,MG,Southeast,1,SELL_0297,2022-10-19T00:33:00.000Z,741.31,74.52,741.31,74.52,815.83,10.05,High,Premium,Fashion,68,923,3,15516,97,21,79,160923,Large,Heavy,Special Handling,1,Credit_card,3,159.97,Yes,Medium Value,Short Term EMI,741.31,74.52,815.83,148.26,High,Delayed
ORD_0000123,PROD_002215,CUST_005467,Invoiced,2021-04-20T04:26:00.000Z,2021-04-20T05:26:00.000Z,2021-04-22T05:26:00.000Z,null,2021-04-28T04:26:00.000Z,2021-04-20,2021,4,April,20,Tuesday,16,2,4,1,48,null,8,null,Pending,UNIQ_005467,39591,Fortaleza,CE,Northeast,1,SELL_0238,2021-04-23T04:26:00.000Z,938.42,33.21,938.42,33.21,971.63,3.54,Medium,Premium,Food,31,649,3,17490,81,43,20,69660,Large,Heavy,Special Handling,1,Debit_card,1,2419.92,No,Premium Value,Single Payment,938.42,33.21,971.63,187.68,High,Delayed
ORD_0000146,PROD_000797,CUST_000635,Cancelled,2023-06-13T10:19:00.000Z,2023-06-13T20:19:00.000Z,2023-06-16T20:19:00.000Z,null,2023-06-23T10:19:00.000Z,2023-06-13,2023,6,June,13,Tuesday,24,2,10,10,72,null,10,null,Pending,UNIQ_000635,15943,Fortaleza,CE,Northeast,1,SELL_0084,2023-06-16T10:19:00.000Z,1438.67,13.08,1438.67,13.08,1451.75,0.91,Low,Premium,Music,26,934,5,26453,88,13,50,57200,Large,Heavy,Special Handling,1,Credit_card,1,1771.12,No,Premium Value,Single Payment,1438.67,13.08,1451.75,287.73,Premium,Delayed
