order_id,payment_sequential,payment_type,payment_installments,payment_value,is_installment,payment_value_category,installment_category
ORD_0000002,1,Voucher,1,805.73,No,High Value,Single Payment
ORD_0000013,1,Credit_card,3,870.18,Yes,High Value,Short Term EMI
ORD_0000014,1,Debit_card,1,1325.83,No,Premium Value,Single Payment
ORD_0000023,1,Credit_card,6,2215.62,Yes,Premium Value,Medium Term EMI
ORD_0000028,1,Debit_card,12,2013.86,Yes,Premium Value,Long Term EMI
ORD_0000033,1,Credit_card,3,600.86,Yes,High Value,Short Term EMI
ORD_0000108,1,Credit_card,2,1891.48,Yes,Premium Value,Short Term EMI
ORD_0000119,1,Voucher,1,535.68,No,High Value,Single Payment
ORD_0000125,1,Voucher,6,2297.72,Yes,Premium Value,Medium Term EMI
ORD_0000126,1,Credit_card,1,1192.38,No,Premium Value,Single Payment
ORD_0000143,1,Boleto,2,2470.88,Yes,Premium Value,Short Term EMI
ORD_0000157,1,Credit_card,6,2297.44,Yes,Premium Value,Medium Term EMI
ORD_0000191,2,Debit_card,3,97.28,Yes,Low Value,Short Term EMI
ORD_0000195,1,Credit_card,3,984.83,Yes,High Value,Short Term EMI
ORD_0000203,1,Credit_card,2,2358.61,Yes,Premium Value,Short Term EMI
ORD_0000216,1,Credit_card,6,586.9,Yes,High Value,Medium Term EMI
ORD_0000220,1,Debit_card,3,343.27,Yes,Medium Value,Short Term EMI
ORD_0000224,1,Credit_card,1,1496.86,No,Premium Value,Single Payment
ORD_0000239,1,Boleto,1,579.56,No,High Value,Single Payment
ORD_0000246,1,Voucher,2,2976.06,Yes,Premium Value,Short Term EMI
ORD_0000255,1,Debit_card,1,1207.04,No,Premium Value,Single Payment
ORD_0000259,1,Credit_card,1,1039.62,No,Premium Value,Single Payment
ORD_0000275,1,Credit_card,1,2985.93,No,Premium Value,Single Payment
ORD_0000287,1,Credit_card,6,2936.03,Yes,Premium Value,Medium Term EMI
ORD_0000293,1,Credit_card,12,658.51,Yes,High Value,Long Term EMI
ORD_0000305,1,Credit_card,1,368.04,No,Medium Value,Single Payment
ORD_0000308,1,Boleto,3,2244.16,Yes,Premium Value,Short Term EMI
ORD_0000338,1,Boleto,12,463.37,Yes,Medium Value,Long Term EMI
ORD_0000351,2,Boleto,3,62.45,Yes,Low Value,Short Term EMI
ORD_0000373,1,Boleto,1,1253.47,No,Premium Value,Single Payment
ORD_0000389,1,Credit_card,1,1176.48,No,Premium Value,Single Payment
ORD_0000395,1,Boleto,1,1127.77,No,Premium Value,Single Payment
ORD_0000422,1,Boleto,12,2986.31,Yes,Premium Value,Long Term EMI
ORD_0000438,1,Credit_card,2,671.52,Yes,High Value,Short Term EMI
ORD_0000441,1,Debit_card,1,2276.11,No,Premium Value,Single Payment
ORD_0000451,1,Voucher,1,261.49,No,Medium Value,Single Payment
ORD_0000453,1,Credit_card,1,584.77,No,High Value,Single Payment
