product_id,product_category_name,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_volume_cm3,size_category,weight_category,shipping_type
PROD_000005,Toys,29,632,5,26347,79,32,11,27808,Large,Heavy,Special Handling
PROD_000008,Books,40,247,4,13678,21,19,63,25137,Large,Heavy,Special Handling
PROD_000010,Toys,34,750,1,16878,45,17,71,54315,Large,Heavy,Special Handling
PROD_000013,Health,20,644,3,22228,33,20,28,18480,Large,Heavy,Special Handling
PROD_000016,Toys,35,994,4,19772,23,25,78,44850,Large,Heavy,Special Handling
PROD_000031,Sports,43,733,2,16136,87,36,20,62640,Large,Heavy,Special Handling
PROD_000036,Beauty,70,898,3,23920,37,13,39,18759,Large,Heavy,Special Handling
PROD_000042,Garden,50,763,4,2292,26,6,30,4680,Medium,Heavy,Standard
PROD_000043,Food,25,941,6,21333,51,35,80,142800,Large,Heavy,Special Handling
PROD_000063,Furniture,52,400,5,14054,30,15,45,20250,Large,Heavy,Special Handling
PROD_000067,Music,63,155,4,25197,26,33,63,54054,Large,Heavy,Special Handling
PROD_000069,Automotive,48,698,2,8534,97,22,27,57618,Large,Heavy,Special Handling
PROD_000084,Health,52,270,6,17803,87,30,73,190530,Large,Heavy,Special Handling
PROD_000085,Office,67,753,1,22949,36,29,11,11484,Large,Heavy,Special Handling
PROD_000087,Computers,58,236,1,18525,57,31,45,79515,Large,Heavy,Special Handling
PROD_000138,Music,55,974,2,7330,50,23,74,85100,Large,Heavy,Special Handling
PROD_000154,Fashion,66,103,3,28071,78,7,32,17472,Large,Heavy,Special Handling
PROD_000161,Health,49,967,1,28667,54,50,38,102600,Large,Heavy,Special Handling
PROD_000171,Books,48,627,6,16971,11,41,34,15334,Large,Heavy,Special Handling
PROD_000190,Music,27,749,5,613,59,15,15,13275,Large,Medium,Standard
PROD_000214,Fashion,42,139,6,4446,98,49,10,48020,Large,Heavy,Standard
PROD_000231,Home_appliances,68,534,1,16932,42,38,25,39900,Large,Heavy,Special Handling
PROD_000259,Furniture,68,506,1,7890,93,8,44,32736,Large,Heavy,Special Handling
PROD_000278,Toys,36,472,4,19941,70,14,60,58800,Large,Heavy,Special Handling
PROD_000300,Furniture,64,697,4,21464,16,35,52,29120,Large,Heavy,Special Handling
PROD_000305,Food,67,197,5,20409,78,47,23,84318,Large,Heavy,Special Handling
PROD_000319,Music,37,850,2,19883,90,14,28,35280,Large,Heavy,Special Handling
PROD_000323,Computers,26,938,6,6070,100,17,61,103700,Large,Heavy,Special Handling
PROD_000366,Home_appliances,55,620,4,7055,45,23,61,63135,Large,Heavy,Special Handling
PROD_000368,Automotive,57,364,4,637,62,49,23,69874,Large,Medium,Standard
PROD_000384,Health,67,516,5,28548,16,47,59,44368,Large,Heavy,Special Handling
PROD_000385,Sports,40,624,3,7333,12,10,12,1440,Medium,Heavy,Special Handling
PROD_000392,Food,69,712,4,24584,41,19,23,17917,Large,Heavy,Special Handling
PROD_000398,Computers,58,600,4,8782,73,28,44,89936,Large,Heavy,Special Handling
PROD_000422,Office,34,103,6,6013,83,50,33,136950,Large,Heavy,Special Handling
PROD_000425,Toys,24,321,1,17530,59,29,14,23954,Large,Heavy,Special Handling
PROD_000446,Fashion,25,402,6,13258,21,17,41,14637,Large,Heavy,Special Handling
PROD_000470,Beauty,20,528,3,27860,48,35,43,72240,Large,Heavy,Special Handling
PROD_000494,Garden,51,614,1,20115,61,22,51,68442,Large,Heavy,Special Handling
PROD_000497,Garden,32,183,4,10663,54,48,52,134784,Large,Heavy,Special Handling
PROD_000505,Sports,66,108,1,18637,36,27,74,71928,Large,Heavy,Special Handling
PROD_000515,Sports,57,257,4,1440,88,32,72,202752,Large,Medium,Standard
PROD_000521,Toys,66,970,6,27573,94,18,41,69372,Large,Heavy,Special Handling
PROD_000525,Office,45,102,4,18488,88,6,71,37488,Large,Heavy,Special Handling
PROD_000533,Furniture,21,470,3,10028,88,21,36,66528,Large,Heavy,Special Handling
PROD_000555,Electronics,27,572,1,6357,87,29,22,55506,Large,Heavy,Special Handling
