customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,customer_region
CUST_000018,UNIQ_000018,54118,Manaus,AM,North
CUST_000036,UNIQ_000036,97841,Manaus,AM,North
CUST_000066,UNIQ_000066,79352,Campo Grande,MS,Central-West
CUST_000089,UNIQ_000089,19071,Joao Pessoa,PB,Northeast
CUST_000095,UNIQ_000095,37760,Teresina,PI,Northeast
CUST_000105,UNIQ_000105,10942,Recife,PE,Northeast
CUST_000117,UNIQ_000117,22363,Manaus,AM,North
CUST_000119,UNIQ_000119,56438,Teresina,PI,Northeast
CUST_000136,UNIQ_000136,73092,Joao Pessoa,PB,Northeast
CUST_000159,UNIQ_000159,20745,Porto Velho,RO,North
CUST_000160,UNIQ_000160,96163,Teresina,PI,Northeast
CUST_000188,UNIQ_000188,93130,Manaus,AM,North
CUST_000201,UNIQ_000201,86350,Florianopolis,SC,South
CUST_000205,UNIQ_000205,15229,Florianopolis,SC,South
CUST_000227,UNIQ_000227,62386,Aracaju,SE,Northeast
CUST_000236,UNIQ_000236,25157,Aracaju,SE,Northeast
CUST_000257,UNIQ_000257,37549,Belem,PA,North
CUST_000274,UNIQ_000274,35485,Cuiaba,MT,Central-West
CUST_000279,UNIQ_000279,38683,Teresina,PI,Northeast
CUST_000286,UNIQ_000286,51588,Porto Velho,RO,North
CUST_000305,UNIQ_000305,81121,Goiania,GO,Central-West
CUST_000321,UNIQ_000321,26728,Campo Grande,MS,Central-West
CUST_000328,UNIQ_000328,44099,Rio De Janeiro,RJ,Southeast
CUST_000359,UNIQ_000359,15383,Cuiaba,MT,Central-West
CUST_000397,UNIQ_000397,97026,Belem,PA,North
CUST_000442,UNIQ_000442,91399,Cuiaba,MT,Central-West
CUST_000499,UNIQ_000499,77952,Manaus,AM,North
CUST_000528,UNIQ_000528,86011,Cuiaba,MT,Central-West
CUST_000558,UNIQ_000558,40771,Belo Horizonte,MG,Southeast
CUST_000577,UNIQ_000577,70443,Recife,PE,Northeast
CUST_000623,UNIQ_000623,69609,Salvador,BA,Northeast
CUST_000627,UNIQ_000627,24201,Florianopolis,SC,South
CUST_000638,UNIQ_000638,40775,Salvador,BA,Northeast
CUST_000646,UNIQ_000646,63492,Porto Velho,RO,North
CUST_000655,UNIQ_000655,26011,Manaus,AM,North
CUST_000666,UNIQ_000666,10371,Porto Velho,RO,North
CUST_000670,UNIQ_000670,96646,Salvador,BA,Northeast
CUST_000736,UNIQ_000736,13794,Porto Alegre,RS,South
CUST_000763,UNIQ_000763,73783,Cuiaba,MT,Central-West
CUST_000766,UNIQ_000766,61807,Recife,PE,Northeast
CUST_000800,UNIQ_000800,35415,Aracaju,SE,Northeast
CUST_000801,UNIQ_000801,56019,Florianopolis,SC,South
CUST_000806,UNIQ_000806,95918,Fortaleza,CE,Northeast
CUST_000836,UNIQ_000836,15130,Curitiba,PR,South
CUST_000871,UNIQ_000871,96760,Rio De Janeiro,RJ,Southeast
CUST_000877,UNIQ_000877,15726,Campo Grande,MS,Central-West
CUST_000891,UNIQ_000891,16839,Porto Alegre,RS,South
CUST_000897,UNIQ_000897,77286,Campo Grande,MS,Central-West
CUST_000899,UNIQ_000899,39102,Belo Horizonte,MG,Southeast
CUST_000908,UNIQ_000908,29142,Goiania,GO,Central-West
CUST_000916,UNIQ_000916,89807,Maceio,AL,Northeast
CUST_000940,UNIQ_000940,58929,Natal,RN,Northeast
CUST_000986,UNIQ_000986,89635,Fortaleza,CE,Northeast
CUST_001032,UNIQ_001032,51553,Fortaleza,CE,Northeast
CUST_001057,UNIQ_001057,13718,Rio De Janeiro,RJ,Southeast
CUST_001060,UNIQ_001060,84991,Manaus,AM,North
CUST_001086,UNIQ_001086,50988,Cuiaba,MT,Central-West
CUST_001088,UNIQ_001088,77466,Joao Pessoa,PB,Northeast
CUST_001096,UNIQ_001096,46877,Rio De Janeiro,RJ,Southeast
CUST_001097,UNIQ_001097,88317,Joao Pessoa,PB,Northeast
CUST_001107,UNIQ_001107,47827,Maceio,AL,Northeast
CUST_001127,UNIQ_001127,61505,Curitiba,PR,South
CUST_001166,UNIQ_001166,37168,Belem,PA,North
CUST_001242,UNIQ_001242,30078,Joao Pessoa,PB,Northeast
CUST_001248,UNIQ_001248,20730,Porto Velho,RO,North
CUST_001257,UNIQ_001257,67912,Aracaju,SE,Northeast
CUST_001263,UNIQ_001263,77272,Fortaleza,CE,Northeast
CUST_001330,UNIQ_001330,64592,Teresina,PI,Northeast
CUST_001336,UNIQ_001336,22119,Florianopolis,SC,South
CUST_001360,UNIQ_001360,64254,Goiania,GO,Central-West
CUST_001362,UNIQ_001362,29126,Recife,PE,Northeast
CUST_001366,UNIQ_001366,29976,Belem,PA,North
CUST_001371,UNIQ_001371,43728,Goiania,GO,Central-West
CUST_001372,UNIQ_001372,94108,Joao Pessoa,PB,Northeast
CUST_001399,UNIQ_001399,79003,Porto Velho,RO,North
CUST_001424,UNIQ_001424,86943,Manaus,AM,North
CUST_001430,UNIQ_001430,53480,Maceio,AL,Northeast
CUST_001440,UNIQ_001440,69054,Porto Alegre,RS,South
CUST_001460,UNIQ_001460,77166,Maceio,AL,Northeast
CUST_001465,UNIQ_001465,52523,Porto Velho,RO,North
CUST_001477,UNIQ_001477,46170,Teresina,PI,Northeast
CUST_001499,UNIQ_001499,46739,Natal,RN,Northeast
CUST_001526,UNIQ_001526,23886,Teresina,PI,Northeast
CUST_001527,UNIQ_001527,22924,Sao Paulo,SP,Southeast
CUST_001566,UNIQ_001566,34505,Maceio,AL,Northeast
CUST_001581,UNIQ_001581,25328,Belem,PA,North
CUST_001582,UNIQ_001582,58929,Curitiba,PR,South
CUST_001594,UNIQ_001594,91187,Campo Grande,MS,Central-West
CUST_001623,UNIQ_001623,87060,Manaus,AM,North
CUST_001660,UNIQ_001660,55054,Joao Pessoa,PB,Northeast
CUST_001680,UNIQ_001680,78084,Recife,PE,Northeast
CUST_001686,UNIQ_001686,21708,Natal,RN,Northeast
CUST_001706,UNIQ_001706,88774,Maceio,AL,Northeast
CUST_001733,UNIQ_001733,80471,Maceio,AL,Northeast
CUST_001777,UNIQ_001777,51934,Teresina,PI,Northeast
CUST_001781,UNIQ_001781,33507,Rio De Janeiro,RJ,Southeast
CUST_001782,UNIQ_001782,77603,Recife,PE,Northeast
CUST_001792,UNIQ_001792,58270,Campo Grande,MS,Central-West
CUST_001802,UNIQ_001802,36895,Salvador,BA,Northeast
CUST_001811,UNIQ_001811,76247,Salvador,BA,Northeast
