order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,gross_sales,shipping_cost,total_amount,shipping_percentage,shipping_category,price_category
ORD_0000001,1,PROD_001950,SELL_0224,2023-06-18T14:30:00.000Z,1754.7,20.17,1754.7,20.17,1774.87,1.15,Medium,Premium
ORD_0000002,1,PROD_000989,SELL_0405,2021-06-14T11:02:00.000Z,2105.2,45.48,2105.2,45.48,2150.68,2.16,Medium,Premium
ORD_0000003,1,PROD_000254,SELL_0283,2022-04-03T19:38:00.000Z,1627.94,78.29,1627.94,78.29,1706.23,4.81,High,Premium
ORD_0000004,1,PROD_001327,SELL_0437,2021-09-12T22:29:00.000Z,65.22,31.08,65.22,31.08,96.3,47.65,Medium,Budget
ORD_0000004,2,PROD_002714,SELL_0396,2021-09-12T22:29:00.000Z,946.39,44.43,946.39,44.43,990.82,4.69,Medium,Premium
ORD_0000004,3,PROD_001507,SELL_0446,2021-09-12T22:29:00.000Z,157.96,55.93,157.96,55.93,213.89,35.41,High,Standard
ORD_0000005,1,PROD_001872,SELL_0152,2022-08-28T07:46:00.000Z,1681.83,14,1681.83,14,1695.83,0.83,Low,Premium
ORD_0000006,1,PROD_001518,SELL_0490,2023-05-29T16:27:00.000Z,856.74,64.83,856.74,64.83,921.57,7.57,High,Premium
ORD_0000007,1,PROD_001504,SELL_0324,2021-09-22T15:50:00.000Z,373.8,66.88,373.8,66.88,440.68,17.89,High,Standard
ORD_0000008,1,PROD_001133,SELL_0241,2021-01-21T14:24:00.000Z,899.98,23.95,899.98,23.95,923.93,2.66,Medium,Premium
ORD_0000009,1,PROD_000526,SELL_0462,2021-07-08T23:18:00.000Z,1953.84,75.42,1953.84,75.42,2029.26,3.86,High,Premium
ORD_0000010,1,PROD_000426,SELL_0055,2021-02-22T04:01:00.000Z,1016.41,49.62,1016.41,49.62,1066.03,4.88,Medium,Premium
ORD_0000011,1,PROD_000821,SELL_0091,2021-01-12T14:51:00.000Z,2477.09,42.63,2477.09,42.63,2519.72,1.72,Medium,Premium
ORD_0000011,2,PROD_001351,SELL_0051,2021-01-10T14:51:00.000Z,2419.8,51.74,2419.8,51.74,2471.54,2.14,High,Premium
ORD_0000011,3,PROD_002062,SELL_0269,2021-01-12T14:51:00.000Z,920.06,8.1,920.06,8.1,928.16,0.88,Low,Premium
ORD_0000012,1,PROD_002124,SELL_0349,2023-03-20T22:15:00.000Z,55.97,39.27,55.97,39.27,95.24,70.16,Medium,Budget
ORD_0000012,2,PROD_002198,SELL_0475,2023-03-20T22:15:00.000Z,1994.77,35.57,1994.77,35.57,2030.34,1.78,Medium,Premium
ORD_0000012,3,PROD_000936,SELL_0344,2023-03-19T22:15:00.000Z,266.81,30.16,266.81,30.16,296.97,11.3,Medium,Standard
