order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,purchase_date,purchase_year,purchase_month,purchase_month_name,purchase_day,purchase_day_name,purchase_week,purchase_quarter,purchase_hour,approval_time_hours,carrier_time_hours,delivery_time_days,estimated_delivery_days,delivery_delay_days,delivery_status
ORD_0000031,CUST_008196,Delivered,2023-06-05T08:48:00.000Z,2023-06-05T21:48:00.000Z,2023-06-08T21:48:00.000Z,2023-06-19T08:48:00.000Z,2023-06-16T08:48:00.000Z,2023-06-05,2023,6,June,5,Monday,23,2,8,13,72,14,11,3,Delayed
ORD_0000033,CUST_009204,Invoiced,2022-06-15T05:31:00.000Z,2022-06-15T09:31:00.000Z,2022-06-16T09:31:00.000Z,null,2022-06-26T05:31:00.000Z,2022-06-15,2022,6,June,15,Wednesday,24,2,5,4,24,null,11,null,Pending
ORD_0000082,CUST_000221,Delivered,2021-09-16T14:05:00.000Z,2021-09-17T05:05:00.000Z,2021-09-20T05:05:00.000Z,2021-09-24T14:05:00.000Z,2021-10-01T14:05:00.000Z,2021-09-16,2021,9,September,16,Thursday,37,3,14,15,72,8,15,-7,On Time
ORD_0000091,CUST_013850,Delivered,2021-02-16T14:05:00.000Z,2021-02-17T00:05:00.000Z,2021-02-18T00:05:00.000Z,2021-02-28T14:05:00.000Z,2021-02-26T14:05:00.000Z,2021-02-16,2021,2,February,16,Tuesday,7,1,14,10,24,12,10,2,Delayed
ORD_0000097,CUST_014376,Delivered,2021-08-27T20:59:00.000Z,2021-08-28T14:59:00.000Z,2021-08-30T14:59:00.000Z,2021-09-06T20:59:00.000Z,2021-09-12T20:59:00.000Z,2021-08-27,2021,8,August,27,Friday,34,3,20,18,48,10,16,-6,On Time
ORD_0000104,CUST_003362,Processing,2022-03-05T13:12:00.000Z,2022-03-06T06:12:00.000Z,2022-03-07T06:12:00.000Z,null,2022-03-17T13:12:00.000Z,2022-03-05,2022,3,March,5,Saturday,9,1,13,17,24,null,12,null,Pending
ORD_0000119,CUST_004877,Processing,2021-01-31T13:45:00.000Z,2021-02-01T13:45:00.000Z,2021-02-04T13:45:00.000Z,null,2021-02-13T13:45:00.000Z,2021-01-31,2021,1,January,31,Sunday,4,1,13,24,72,null,13,null,Pending
ORD_0000121,CUST_013794,Invoiced,2022-10-18T00:33:00.000Z,2022-10-19T00:33:00.000Z,2022-10-22T00:33:00.000Z,null,2022-10-25T00:33:00.000Z,2022-10-18,2022,10,October,18,Tuesday,42,4,0,24,72,null,7,null,Pending
ORD_0000123,CUST_005467,Invoiced,2021-04-20T04:26:00.000Z,2021-04-20T05:26:00.000Z,2021-04-22T05:26:00.000Z,null,2021-04-28T04:26:00.000Z,2021-04-20,2021,4,April,20,Tuesday,16,2,4,1,48,null,8,null,Pending
ORD_0000146,CUST_000635,Cancelled,2023-06-13T10:19:00.000Z,2023-06-13T20:19:00.000Z,2023-06-16T20:19:00.000Z,null,2023-06-23T10:19:00.000Z,2023-06-13,2023,6,June,13,Tuesday,24,2,10,10,72,null,10,null,Pending
ORD_0000157,CUST_004316,Invoiced,2021-11-24T06:18:00.000Z,2021-11-24T22:18:00.000Z,2021-11-27T22:18:00.000Z,null,2021-12-14T06:18:00.000Z,2021-11-24,2021,11,November,24,Wednesday,47,4,6,16,72,null,20,null,Pending
ORD_0000168,CUST_008355,Invoiced,2023-01-07T08:58:00.000Z,2023-01-07T13:58:00.000Z,2023-01-10T13:58:00.000Z,null,2023-01-26T08:58:00.000Z,2023-01-07,2023,1,January,7,Saturday,1,1,8,5,72,null,19,null,Pending
ORD_0000175,CUST_004346,Delivered,2021-12-26T12:22:00.000Z,2021-12-27T09:22:00.000Z,2021-12-28T09:22:00.000Z,2022-01-01T12:22:00.000Z,2022-01-14T12:22:00.000Z,2021-12-26,2021,12,December,26,Sunday,51,4,12,21,24,6,19,-13,On Time
ORD_0000192,CUST_007313,Cancelled,2021-11-20T19:46:00.000Z,2021-11-21T01:46:00.000Z,2021-11-23T01:46:00.000Z,null,2021-12-01T19:46:00.000Z,2021-11-20,2021,11,November,20,Saturday,46,4,19,6,48,null,11,null,Pending
ORD_0000193,CUST_005432,Invoiced,2023-05-23T17:53:00.000Z,2023-05-23T21:53:00.000Z,2023-05-25T21:53:00.000Z,null,2023-06-09T17:53:00.000Z,2023-05-23,2023,5,May,23,Tuesday,21,2,17,4,48,null,17,null,Pending
ORD_0000195,CUST_014416,Shipped,2023-03-24T21:13:00.000Z,2023-03-25T13:13:00.000Z,2023-03-27T13:13:00.000Z,null,2023-04-06T21:13:00.000Z,2023-03-24,2023,3,March,24,Friday,12,1,21,16,48,null,13,null,Pending
ORD_0000305,CUST_011731,Invoiced,2022-08-29T15:36:00.000Z,2022-08-30T02:36:00.000Z,2022-09-01T02:36:00.000Z,null,2022-09-13T15:36:00.000Z,2022-08-29,2022,8,August,29,Monday,35,3,15,11,48,null,15,null,Pending
ORD_0000355,CUST_003462,Delivered,2022-07-17T08:35:00.000Z,2022-07-18T02:35:00.000Z,2022-07-19T02:35:00.000Z,2022-07-23T08:35:00.000Z,2022-07-31T08:35:00.000Z,2022-07-17,2022,7,July,17,Sunday,28,3,8,18,24,6,14,-8,On Time
ORD_0000356,CUST_000431,Processing,2023-02-13T19:47:00.000Z,2023-02-14T15:47:00.000Z,2023-02-17T15:47:00.000Z,null,2023-02-21T19:47:00.000Z,2023-02-13,2023,2,February,13,Monday,7,1,19,20,72,null,8,null,Pending
ORD_0000370,CUST_014437,Delivered,2023-06-11T02:37:00.000Z,2023-06-12T02:37:00.000Z,2023-06-13T02:37:00.000Z,2023-06-21T02:37:00.000Z,2023-06-23T02:37:00.000Z,2023-06-11,2023,6,June,11,Sunday,23,2,2,24,24,10,12,-2,On Time
ORD_0000373,CUST_010544,Processing,2022-06-07T14:51:00.000Z,2022-06-08T06:51:00.000Z,2022-06-09T06:51:00.000Z,null,2022-06-22T14:51:00.000Z,2022-06-07,2022,6,June,7,Tuesday,23,2,14,16,24,null,15,null,Pending
ORD_0000390,CUST_008309,Delivered,2021-08-17T17:12:00.000Z,2021-08-17T21:12:00.000Z,2021-08-19T21:12:00.000Z,2021-08-27T17:12:00.000Z,2021-09-01T17:12:00.000Z,2021-08-17,2021,8,August,17,Tuesday,33,3,17,4,48,10,15,-5,On Time
ORD_0000410,CUST_009668,Delivered,2022-03-12T18:22:00.000Z,2022-03-13T13:22:00.000Z,2022-03-15T13:22:00.000Z,2022-03-21T18:22:00.000Z,2022-03-22T18:22:00.000Z,2022-03-12,2022,3,March,12,Saturday,10,1,18,19,48,9,10,-1,On Time
ORD_0000423,CUST_012797,Delivered,2022-12-27T07:43:00.000Z,2022-12-27T23:43:00.000Z,2022-12-30T23:43:00.000Z,2023-01-05T07:43:00.000Z,2023-01-16T07:43:00.000Z,2022-12-27,2022,12,December,27,Tuesday,52,4,7,16,72,9,20,-11,On Time
ORD_0000446,CUST_006443,Invoiced,2022-09-27T14:21:00.000Z,2022-09-28T01:21:00.000Z,2022-09-30T01:21:00.000Z,null,2022-10-08T14:21:00.000Z,2022-09-27,2022,9,September,27,Tuesday,39,3,14,11,48,null,11,null,Pending
ORD_0000465,CUST_008945,Processing,2021-08-30T21:24:00.000Z,2021-08-31T13:24:00.000Z,2021-09-02T13:24:00.000Z,null,2021-09-18T21:24:00.000Z,2021-08-30,2021,8,August,30,Monday,35,3,21,16,48,null,19,null,Pending
ORD_0000472,CUST_010010,Delivered,2022-07-17T15:17:00.000Z,2022-07-18T06:17:00.000Z,2022-07-20T06:17:00.000Z,2022-07-29T15:17:00.000Z,2022-07-25T15:17:00.000Z,2022-07-17,2022,7,July,17,Sunday,28,3,15,15,48,12,8,4,Delayed
ORD_0000486,CUST_001785,Cancelled,2023-04-17T08:36:00.000Z,2023-04-17T18:36:00.000Z,2023-04-18T18:36:00.000Z,null,2023-04-26T08:36:00.000Z,2023-04-17,2023,4,April,17,Monday,16,2,8,10,24,null,9,null,Pending
